"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide"
1127805492717580,100064644191880,"ISB International School Bangkok","Boundless celebrates the creativity, curiosity, and growth of our Middle School artists. Through bold ideas and emotional expression, students explore real-world questions and take creative risks. Guided by the Studio Habits of Mind, they build skills that go far beyond the art room — learning to observe, reflect, persist, and think in new ways. As you explore the exhibition, we invite you to look closely and discover the stories behind each piece.

#ISB #isbthailand #art",,0,"05/09/2025 04:00",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/posts/pfbid0FVmjWnaJrumPJoyPezfD72SNxeKRCby2WAFeKtoY8BkidTqpiz4FUf9SHKjfMCekl,0,0,Photos,,,,,Lifetime,4840,2723,36,35,0,1,168,70,98,,,,,,,,
1130684389096357,100064644191880,"ISB International School Bangkok","As we enter the final weeks of the school year, we pause to acknowledge the remarkable individuals who make ISB a place of excellence, care, and community.
Our faculty and staff serve with unwavering dedication in classrooms, on fields and stages, and throughout our campus, shaping meaningful experiences for our students each and every day.
This video is a small tribute to their lasting impact.
We are equally grateful to our students and parents, whose trust and support enrich our shared mission.
Thank you for being part of the ISB community.
#ISBGratitudeWeek #ISBCommunity #ThankYouISB #WeAreISB","As we enter the final weeks of the school year, we pause to acknowledge the remarkable individuals who make ISB a place of excellence, care, and community.
Our faculty and staff serve with unwavering dedication in classrooms, on fields and stages, and throughout our campus, shaping meaningful experiences for our students each and every day.
This video is a small tribute to their lasting impact.
We are equally grateful to our students and parents, whose trust and support enrich our shared mission.
Thank you for being part of the ISB community.
#ISBGratitudeWeek #ISBCommunity #ThankYouISB #WeAreISB",97,"05/13/2025 04:00",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/videos/1213702110543521/,0,0,Videos,,,,,Lifetime,6828,4724,278,241,20,17,374,374,,,,86002.366,15.135,0,0,0,
1131408732357256,100064644191880,"ISB International School Bangkok","What a special night! This year’s Spring ES Panther Choir Concert was a beautiful celebration of our ES Social Emotional Learning theme: “We Can Do Hard Things”—and your children proved it on stage!

With support from the ES Art Department, ES Strings, and the Middle and High School Choirs, the evening was filled with big dreams, brave voices, and joyful music. Each song shared a message of courage, teamwork, and determination.

Thank you for cheering them on. We look forward to seeing you next semester at our ES Panther Choir Festival of Lights!

#ISB #ISBThailand #ISBESMUSIC",,0,"05/14/2025 04:02",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/posts/pfbid02qYqS4p4GzN9biwtS1fspJZoGkeqaiZz8DivbubcTEkzeAfbg955d8EfEGT59TTDVl,0,0,Photos,,,,,Lifetime,6629,3714,77,72,0,5,353,129,224,,,,,,,,
1132070885624374,100064644191880,"ISB International School Bangkok","Confidence was high in our boys varsity golf team this season as we geared up for IASAS in Kuala Lumpur. But these things are never easy—we lost one of our strongest players to illness the day before we travelled.
Strong performances in rounds one and two secured us a spot in the final against a tough TAS team. In a closely fought battle, four of the six matches went to the final hole, but our boys held their nerve and came out on top—clinching our third consecutive gold medal! 
Special shout-out to Kevin Xia, who made birdie on his final hole in round two to win his second consecutive individual gold!
So proud of all our players for showing incredible grit, skill, and staying calm under pressure.
#ISB #IASAS
#3Peat #Champions #BoysGolf #ProudTeam #KualaLumpur2025",,0,"05/15/2025 03:49",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/posts/pfbid0WJpRDjgRaNfeBdoQgQd98GgdcVmknwKTBH6Z4NwJH8Wi9AY1HfXCAbNqowueSPP1l,0,0,Photos,,,,,Lifetime,6116,3255,59,54,1,4,298,95,203,,,,,,,,
1134963158668480,100064644191880,"ISB International School Bangkok","Congratulations, Class of 2025!

#ISBGrad2025 #ISB #ISBThailand","Congratulations, Class of 2025!

#ISBGrad2025 #ISB #ISBThailand",73,"05/19/2025 02:42",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/videos/662174109973528/,0,0,Videos,,,,,Lifetime,10322,5800,530,473,34,23,928,927,,1,,136509.214,16.823,0,0,0,
1135763388588457,100064644191880,"ISB International School Bangkok","Gratitude Week moments from last week💛

#ISB #ISBThailand",,0,"05/20/2025 04:12",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/posts/pfbid0fDi82xqjYkWUwKJ71HMemRS9n7ug2vww2e97yDtuR4525rms326rN3UQJAVdRpv9l,0,0,Photos,,,,,Lifetime,7125,4039,106,103,0,3,1124,515,608,1,,,,,,,
1136569761841153,100064644191880,"ISB International School Bangkok","ISB Gymnasts Shine at International Goodwill Meet in Manila 🇵🇭

A talented group of ISB student-athletes from Grade 1 to Grade 9 proudly represented our school at the Gymnastics Goodwill Meet 2025, held at International School Manila on May 17–18. Competing alongside local teams from across the Philippines, our gymnasts showcased exceptional skill, determination, and true Panther spirit.

Their outstanding performances were the result of months of dedication, the tireless efforts of their coaches, and the unwavering support from the ISB parent community. Congratulations to all our gymnasts for exemplifying teamwork, sportsmanship, and excellence on the international stage!",,0,"05/21/2025 04:39",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/posts/pfbid0qfprbmcuzxFwonedi9xhaS7wRve5BGyWyLQVa1RPKf2baAmW6SjPbUjnx5CMgjPnl,0,0,Photos,,,,,Lifetime,8650,4980,234,210,15,9,970,433,537,,,,,,,,
1137335015097961,100064644191880,"ISB International School Bangkok","Get ready for a dazzling celebration of rhythm, energy, and joy!
Our talented dancers are ready to light up the stage with unforgettable performances.

Come support our performers and enjoy the show!
#ISBPantherDance #ISBArts #PantherPride #LiveOnStage #ISB #ISBThailand",,0,"05/22/2025 04:01",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/posts/pfbid02rtNgRUHAJ7oGhxXDfq7b3qAHcE2efgE6sYi7MFPfDs4aHujqQMACD7zMZ3FeVzinl,0,0,Photos,,,,,Lifetime,5622,3159,50,48,0,2,220,79,141,,,,,,,,
1140405648124231,100064644191880,"ISB International School Bangkok","ISB Seniors Golf Cart Parade","Our Seniors, Class of 2025, truly made last Saturday unforgettable with their Golf Cart Parade! From the cheers, smiles, and honks along the way—it was a day filled with joy, laughter, and memories to last a lifetime.

We can’t celebrate enough the hard work, passion, and spirit you’ve brought to our community. Cheers to the amazing journey ahead for the Class of 2025!

#ISBGolfCartParade #ISBGrad2025 #Seniors2025 #GolfCartParade #Unforgettable #ISBCommunity",67,"05/26/2025 03:40",N/A,https://www.facebook.com/ISBInternationalSchoolBangkok/videos/2881010865413200/,0,0,Videos,,,,,Lifetime,10731,6515,805,663,117,25,865,862,,3,,126868.308,14.658,0,0,0,
1141210031377126,100064644191880,"ISB International School Bangkok","Epicure welcomes two Guest Chefs from Japan through our new partnership with Green House Co. Ltd. Join us for lunch from May 28 to 30 and enjoy authentic Japanese dishes made fresh at the cafeteria. Come and experience the flavors of Japan. #EpicureXGreenHouse #ISBDining","Epicure welcomes two Guest Chefs from Japan through our new partnership with Green House Co. Ltd. Join us for lunch from May 28 to 30 and enjoy authentic Japanese dishes made fresh at the cafeteria. Come and experience the flavors of Japan. #EpicureXGreenHouse #ISBDining",19,"05/27/2025 04:33",N/A,https://www.facebook.com/reel/1338417503917597/,0,0,Reels,,,,,Lifetime,6667,3397,50,46,0,4,73,73,,,,26234.193,5.078,0,,0,
